seed,dataset,model,method,n_samples,accuracy,balanced_accuracy,precision,recall,f1,privileged_positive_rate,unprivileged_positive_rate,demographic_parity_ratio,demographic_parity_difference,privileged_tpr,unprivileged_tpr,privileged_fpr,unprivileged_fpr,tpr_gap,fpr_gap,equalized_odds_gap,fairness_pass,roc_auc,intervention_rate,total_interventions,rolling_avg_dpr,rolling_min_dpr,rolling_fair_rate,rolling_max_eo_gap,rolling_tail_avg_dpr,rolling_tail_fair_rate,rolling_tail_max_eo_gap,accuracy_delta_vs_base,dpr_delta_vs_base,coda_threshold_updates,coda_damping_events,coda_lambda_mean,coda_lambda_max,coda_lambda_final,coda_dpr_mean,coda_dpr_std,coda_tau_initial_group_0,coda_tau_final_group_0,coda_tau_mean_group_0,coda_tau_range_group_0,coda_tau_initial_group_1,coda_tau_final_group_1,coda_tau_mean_group_1,coda_tau_range_group_1
52,bank_marketing,xgboost,coda_no_overshoot,2233.0,0.7330944917151814,0.7319362104331738,0.7221153846153846,0.7098298676748582,0.7159199237368924,0.4548022598870056,0.47566182749786506,1.045865136237542,0.020859567610859442,0.7110187110187111,0.708838821490468,0.24268502581755594,0.24915824915824916,-0.0021798895282431063,0.006473223340693224,0.006473223340693224,1.0,0.7896520934722279,0.08866995073891626,198.0,1.1224379958636728,0.0,0.7881773399014779,1.0,1.1177360353159018,0.7837837837837838,0.625,-0.00268696820420955,-0.17430475403075718,1601.0,648.0,0.40956671338816697,1.4485965667515763,0.7168347369188094,0.8427980480445846,0.12068827928732917,0.45,0.43630138299440074,0.45276246012361276,0.0364277145271516,0.45,0.34794565633438557,0.3966655769317625,0.10221804018037006
52,recruitment,xgboost,base_model,24240.0,0.9888613861386139,0.9832968903603017,0.9847476878143762,0.9718174539631705,0.978239845261122,0.26424050632911394,0.239282769991756,0.9055491654777831,-0.024957736337357955,0.9693955623565417,0.9759036144578314,0.0037682524729156855,0.007317073170731708,0.006508052101289685,0.0035488206978160223,0.006508052101289685,1.0,0.9994949936053316,0.0,0.0,1.0192843980885316,0.0,0.5957920792079208,1.0,1.0191198130948924,0.5953286482017363,1.0,0.0,0.0,,,,,,,,,,,,,,,
52,recruitment,xgboost,group_threshold,24240.0,0.9891914191419142,0.9862376592021047,0.9779517494807477,0.9801441152922338,0.9790467050543826,0.2708447991194276,0.239282769991756,0.8834682104648629,-0.031562029127671615,0.9826574853353737,0.9759036144578314,0.00791333019312294,0.007317073170731708,-0.006753870877542312,-0.0005962570223912314,0.006753870877542312,1.0,0.9994949936053316,0.0039603960396039604,96.0,0.9863748803900804,0.0,0.5777227722772277,1.0,0.9861422724164941,0.5772219925589086,1.0,0.00033003300330036733,-0.022080955012920178,,,,,,,,,,,,,,,
52,recruitment,xgboost,coda_full,24240.0,0.9844884488448845,0.9842202408773364,0.9573009194327567,0.9836669335468374,0.9703048491549519,0.27318381948266374,0.25206100577081614,0.922679118580857,-0.0211228137118476,0.9795970415710278,0.9905335628227194,0.012246820536975978,0.01951219512195122,0.010936521251691644,0.007265374584975242,0.010936521251691644,1.0,0.9994949936053316,0.013201320132013201,320.0,1.0333362544928244,0.0,0.6126650165016502,1.0,1.0332007142623194,0.6122364613476643,1.0,-0.00437293729372934,0.01712995310307397,16982.0,2967.0,1.7680053076104618,5.0,3.081423929963275,0.7842536479683964,0.15821203656098928,0.5,0.474659122007079,0.4059303056733421,0.23999999999999988,0.45,0.3301645523761779,0.4316539424671023,0.23999999999999977
52,recruitment,xgboost,coda_no_damping,24240.0,0.984983498349835,0.9846059453842596,0.9589511471827689,0.9838270616493194,0.9712298450837813,0.2727022564667034,0.25175185490519375,0.9231748140519415,-0.020950401561509624,0.97985207855139,0.9905335628227194,0.01149317004239284,0.019105691056910568,0.010681484271329422,0.007612521014517728,0.010681484271329422,1.0,0.9994949936053316,0.012376237623762377,300.0,1.033744450344086,0.0,0.6145214521452145,1.0,1.033609753842087,0.6140967341876808,1.0,-0.0038778877887788443,0.01762564857415838,16928.0,0.0,1.7471921063447569,5.0,2.9477898565088356,0.7849642954882826,0.15816183142391826,0.5,0.4982618973313647,0.4063964734539821,0.23999253413684973,0.45,0.331430206489045,0.4347225591776507,0.23999999998889698
52,recruitment,xgboost,coda_no_warmup,24240.0,0.9844884488448845,0.9842202408773364,0.9573009194327567,0.9836669335468374,0.9703048491549519,0.27318381948266374,0.25206100577081614,0.922679118580857,-0.0211228137118476,0.9795970415710278,0.9905335628227194,0.012246820536975978,0.01951219512195122,0.010936521251691644,0.007265374584975242,0.010936521251691644,1.0,0.9994949936053316,0.013201320132013201,320.0,1.0333362544928244,0.0,0.6126650165016502,1.0,1.0332007142623194,0.6122364613476643,1.0,-0.00437293729372934,0.01712995310307397,16982.0,2967.0,1.7680053076104618,5.0,3.081423929963275,0.7842536479683964,0.15821203656098928,0.5,0.474659122007079,0.4059303056733421,0.23999999999999988,0.45,0.3301645523761779,0.4316539424671023,0.23999999999999977
52,recruitment,xgboost,coda_no_ema,24240.0,0.984447194719472,0.9842447339366353,0.9570093457943926,0.9838270616493194,0.970232925384919,0.27332140891579526,0.252164056059357,0.9225916735159359,-0.021157352856438272,0.9795970415710278,0.9909638554216867,0.012435233160621761,0.01951219512195122,0.011366813850658963,0.007076961961329458,0.011366813850658963,1.0,0.9994949936053316,0.013325082508250825,323.0,1.0332118431002184,0.0,0.6130775577557755,1.0,1.0330760457151196,0.6126498553121125,1.0,-0.0044141914191419,0.01704250803815277,17031.0,2958.0,1.7704427642002205,5.0,3.081423929963275,0.7843224626140903,0.15792830269787467,0.5,0.4801186740410046,0.4058353105490235,0.24,0.45,0.33,0.4298599425017504,0.24000000000000005
52,recruitment,xgboost,coda_naive_init,24240.0,0.9861798679867987,0.9860390674306603,0.9615745079662605,0.9857485988791033,0.9735115047046731,0.27118877270225644,0.25350370981038745,0.9347868913758985,-0.017685062891868997,0.9808722264728386,0.9939759036144579,0.009043805934997646,0.02032520325203252,0.013103677141619308,0.011281397317034874,0.013103677141619308,1.0,0.9994949936053316,0.010602310231023102,257.0,1.0476657698268286,0.0,0.6240511551155116,1.0,1.0475598482720863,0.6236461347664324,1.0,-0.0026815181518151654,0.029237725898115463,16881.0,2607.0,3.4821498069425583,5.0,5.0,0.7866620506780245,0.15623561512198172,0.5,0.4107188142722963,0.39584217455222687,0.14390782555684173,0.5,0.4518332282146813,0.44458107641490474,0.2172753155001365
52,recruitment,xgboost,coda_no_overshoot,24240.0,0.9844884488448845,0.9842202408773364,0.9573009194327567,0.9836669335468374,0.9703048491549519,0.27318381948266374,0.25206100577081614,0.922679118580857,-0.0211228137118476,0.9795970415710278,0.9905335628227194,0.012246820536975978,0.01951219512195122,0.010936521251691644,0.007265374584975242,0.010936521251691644,1.0,0.9994949936053316,0.013201320132013201,320.0,1.0333362544928244,0.0,0.6126650165016502,1.0,1.0332007142623194,0.6122364613476643,1.0,-0.00437293729372934,0.01712995310307397,16982.0,2967.0,1.7680053076104618,5.0,3.081423929963275,0.7842536479683964,0.15821203656098928,0.5,0.474659122007079,0.4059303056733421,0.23999999999999988,0.45,0.3301645523761779,0.4316539424671023,0.23999999999999977
62,adult,xgboost,base_model,6513.0,0.8694917856594503,0.7894928396029797,0.7817896389324961,0.6352040816326531,0.7009148486981,0.25573921028466484,0.07417709782104775,0.2900497649088725,-0.1815621124636171,0.6492926284437825,0.5511111111111111,0.08031861931629605,0.018633540372670808,-0.09818151733267144,-0.061685078943625245,0.09818151733267144,0.0,0.9224339546233054,0.0,0.0,0.3217876076052674,0.0,0.0783049286043298,1.0,0.32320108513717033,0.07844654185362834,1.0,0.0,0.0,,,,,,,,,,,,,,,
