dataset,method,n_runs,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,demographic_parity_ratio_mean,demographic_parity_ratio_std,demographic_parity_ratio_ci_low,demographic_parity_ratio_ci_high,equalized_odds_gap_mean,equalized_odds_gap_std,equalized_odds_gap_ci_low,equalized_odds_gap_ci_high,intervention_rate_mean,intervention_rate_std,intervention_rate_ci_low,intervention_rate_ci_high
bank_marketing,group_threshold,3,0.7387669801462905,0.002546457995108512,0.7358853916567368,0.7416485686358442,1.1074732516601256,0.12235038076883764,0.969020762126336,1.245925741193915,0.06316243749181283,0.021786615308126835,0.03850856139457225,0.08781631358905341,0.04806687565308254,0.008733603508768515,0.038183872912987936,0.05794987839317715
compas,base_model,3,0.7066968781470292,0.0008721303159964384,0.7057099697885196,0.7076837865055388,0.6340685089656002,0.013056469962735339,0.6192937223282032,0.6488432956029971,0.20769547962899626,0.01751222236418222,0.18787853448870065,0.22751242476929187,0.0,0.0,0.0,0.0
compas,coda_full,3,0.6953675730110774,0.006022595022107598,0.6885523651708989,0.702182780851256,0.9921615344400302,0.014049918983126738,0.9762625544063089,1.0080605144737516,0.056871443421114276,0.018082408196467014,0.036409272271053505,0.07733361457117505,0.12487411883182276,0.011654040206202549,0.11168633086143515,0.13806190680221037
compas,coda_naive_init,3,0.6983887210473313,0.002307439926966704,0.695777606963904,0.7009998351307586,0.9340134581612665,0.022787959536921688,0.9082264543983354,0.9598004619241975,0.029617296888560334,0.008864771151612607,0.019585863987611918,0.03964872978950875,0.12437059415911382,0.005866656695735673,0.11773184714696264,0.131009341171265
compas,coda_no_damping,3,0.6938569989929507,0.007108664603975553,0.68581278772449,0.7019012102614115,0.9824317131867728,0.03257071285995395,0.9455744819054837,1.019288944468062,0.0545319144099178,0.03617881588044492,0.013591730198345711,0.09547209862148989,0.12839879154078548,0.011158071527714614,0.11577224496446575,0.14102533811710521
compas,coda_no_ema,3,0.6953675730110774,0.005681411931720415,0.6889384501830919,0.701796695839063,0.9941357175024029,0.017192927665533545,0.97468008832733,1.013591346677476,0.05522990533307678,0.01332291023581792,0.04015361314344093,0.07030619752271262,0.12462235649546828,0.011522769110568248,0.11158311575378718,0.13766159723714938
compas,coda_no_overshoot,3,0.6953675730110774,0.006022595022107598,0.6885523651708989,0.702182780851256,0.9921615344400302,0.014049918983126738,0.9762625544063089,1.0080605144737516,0.056871443421114276,0.018082408196467014,0.036409272271053505,0.07733361457117505,0.12487411883182276,0.011654040206202549,0.11168633086143515,0.13806190680221037
compas,coda_no_warmup,3,0.695115810674723,0.005975047475481278,0.6883544079486787,0.7018772134007671,0.9907761834557046,0.015293611839883025,0.973469832466934,1.0080825344444753,0.056499753814393316,0.016961131377954915,0.03730642683142048,0.07569308079736616,0.12462235649546828,0.011572170276468704,0.11152721307198259,0.13771749991895396
compas,group_threshold,3,0.6947381671701912,0.003966755099846107,0.6902493612057685,0.6992269731346139,0.9397041757347319,0.09037616585936468,0.8374339165077601,1.0419744349617035,0.05335666436708323,0.004479687878835887,0.04828742032172968,0.05842590841243678,0.09906847935548842,0.032888246986655746,0.06185192438368405,0.13628503432729278
german_credit,base_model,3,0.7916666666666666,0.047521924764610826,0.7378905463983625,0.8454427869349708,0.9068529704983866,0.0723265116617468,0.8250078177825726,0.9886981232142007,0.14080558794517606,0.09106744121391261,0.03775307701462084,0.2438580988757313,0.0,0.0,0.0,0.0
german_credit,coda_full,3,0.7833333333333333,0.014433756729740658,0.767,0.7996666666666666,1.0663240768075797,0.14116430586596665,0.906581626823882,1.2260665267912774,0.13212102038356432,0.05857888839651806,0.06583276789382919,0.19840927287329946,0.08833333333333333,0.03752776749732568,0.04586666666666667,0.1308
german_credit,coda_naive_init,3,0.7916666666666666,0.047521924764610826,0.7378905463983625,0.8454427869349708,0.9068529704983866,0.0723265116617468,0.8250078177825726,0.9886981232142007,0.14080558794517606,0.09106744121391261,0.03775307701462084,0.2438580988757313,0.0,0.0,0.0,0.0
german_credit,coda_no_damping,3,0.7816666666666667,0.011547005383792525,0.7686000000000001,0.7947333333333334,1.0612957846265099,0.13287868882877657,0.9109293929673868,1.2116621762856328,0.12399093908275133,0.05756952702430308,0.05884488651053371,0.18913699165496894,0.08666666666666667,0.036170890690351176,0.04573545065193722,0.1275978826813961
german_credit,coda_no_ema,3,0.7833333333333333,0.014433756729740658,0.767,0.7996666666666666,1.0663240768075797,0.14116430586596665,0.906581626823882,1.2260665267912774,0.13212102038356432,0.05857888839651806,0.06583276789382919,0.19840927287329946,0.08833333333333333,0.03752776749732568,0.04586666666666667,0.1308
german_credit,coda_no_overshoot,3,0.7833333333333333,0.014433756729740658,0.767,0.7996666666666666,1.0663240768075797,0.14116430586596665,0.906581626823882,1.2260665267912774,0.13212102038356432,0.05857888839651806,0.06583276789382919,0.19840927287329946,0.08833333333333333,0.03752776749732568,0.04586666666666667,0.1308
