hyperparameter,hp_value,seed,dataset,model,accuracy,demographic_parity_ratio,intervention_rate
lambda_cap,2.0,52,adult,xgboost,0.8303393213572854,1.0723582803173108,0.07784431137724551
lambda_cap,3.0,52,adult,xgboost,0.8361738062336864,1.0307837376284978,0.07508060801473976
lambda_cap,5.0,52,adult,xgboost,0.8367879625364655,1.0475825464744883,0.07723015507446646
lambda_cap,8.0,52,adult,xgboost,0.8378627360663289,1.0326359024095002,0.07707661599877169
lambda_cap,10.0,52,adult,xgboost,0.8383233532934131,1.0296097434530564,0.07753723322585598
accuracy_floor,0.001,52,adult,xgboost,0.8315676339628435,1.0543958300607394,0.07600184246890834
accuracy_floor,0.01,52,adult,xgboost,0.8315676339628435,1.0543958300607394,0.07600184246890834
accuracy_floor,0.02,52,adult,xgboost,0.8367879625364655,1.0475825464744883,0.07723015507446646
accuracy_floor,0.05,52,adult,xgboost,0.837095040687855,1.0356406625523018,0.07784431137724551
accuracy_floor,0.1,52,adult,xgboost,0.8375556579149394,1.010760893206699,0.07554122524182405
accuracy_floor,0.2,52,adult,xgboost,0.8381698142177184,1.012123743955516,0.07492706893904498
eta,0.01,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
eta,0.05,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
eta,0.1,52,compas,xgboost,0.6880664652567976,1.002531993253176,0.14577039274924472
eta,0.25,52,compas,xgboost,0.68202416918429,0.9997836851328065,0.17900302114803626
eta,0.5,52,compas,xgboost,0.6835347432024169,0.9938366305963063,0.18429003021148035
eta,1.0,52,compas,xgboost,0.6669184290030211,1.0441170661985635,0.1986404833836858
ema_alpha,0.05,52,compas,xgboost,0.6907099697885196,0.9931686152004525,0.13783987915407855
ema_alpha,0.1,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
ema_alpha,0.2,52,compas,xgboost,0.6899546827794562,0.9918710788583637,0.13783987915407855
ema_alpha,0.35,52,compas,xgboost,0.6899546827794562,0.9918710788583637,0.13783987915407855
ema_alpha,0.5,52,compas,xgboost,0.6899546827794562,0.9918710788583637,0.13783987915407855
ema_alpha,0.7,52,compas,xgboost,0.6899546827794562,0.9918710788583637,0.13783987915407855
ema_alpha,1.0,52,compas,xgboost,0.6899546827794562,0.9918710788583637,0.13783987915407855
warmup,5.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
warmup,15.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
warmup,30.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
warmup,50.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
warmup,100.0,52,compas,xgboost,0.6899546827794562,0.9931686152004525,0.13783987915407855
